"FOLIO","DOR_C","SITE_CITY","LAND","IMP","S_DATE","SALES","NBHC","NBHD","TOTVAL"
"0045802016","0100","TAMPA",55160,148453,7/25/2017,200000,208003,"TOWN&CTY",203613
"0045802040","0100","TAMPA",40215,125093,6/29/2017,225000,208003,"TOWN&CTY",165308
"0045802052","0100","TAMPA",36125,149806,4/28/2017,235000,208003,"TOWN&CTY",185931
"0045802068","0100","TAMPA",40215,128752,7/13/2017,250000,208003,"TOWN&CTY",168967
"0048680000","0100","TAMPA",37400,110503,12/15/2017,200000,208003,"TOWN&CTY",147903
"0048930000","0100","TAMPA",37489,136202,10/9/2017,210000,208003,"TOWN&CTY",173691
"0048970000","0100","TAMPA",32108,124508,4/19/2017,219900,208003,"TOWN&CTY",156616
"0049480000","0100","TAMPA",37400,119776,8/31/2017,243000,208003,"TOWN&CTY",157176
"0050290000","0100","TAMPA",41650,124888,5/30/2017,230000,208003,"TOWN&CTY",166538
"0050320000","0100","TAMPA",42837,127171,8/30/2017,201300,208003,"TOWN&CTY",170008
"0050390000","0100","TAMPA",40392,131190,12/8/2017,245000,208003,"TOWN&CTY",171582
"0050490016","0100","TAMPA",48450,132909,6/12/2017,235000,208003,"TOWN&CTY",181359
"0050490050","0100","TAMPA",51000,110365,8/16/2017,201000,208003,"TOWN&CTY",161365
"0050490132","0100","TAMPA",43732,149815,8/11/2017,265000,208003,"TOWN&CTY",193547
"0070680000","0100","TAMPA",29586,139957,8/31/2017,200000,208003,"TOWN&CTY",169543
"0070970000","0100","TAMPA",33482,239540,5/26/2017,349900,208003,"TOWN&CTY",273022
"0070980000","0100","TAMPA",29773,96310,1/20/2017,189900,208003,"TOWN&CTY",126083
"0071300000","0100","TAMPA",32151,108106,5/1/2017,170000,208003,"TOWN&CTY",140257
"0071450000","0100","TAMPA",31816,83718,10/27/2017,173000,208003,"TOWN&CTY",115534
"0071540000","0100","TAMPA",48691,148984,1/20/2017,215000,208003,"TOWN&CTY",197675
"0071700000","0100","TAMPA",31559,85622,9/29/2017,189900,208003,"TOWN&CTY",117181
"0071950000","0100","TAMPA",32211,102958,12/8/2017,212000,208003,"TOWN&CTY",135169
"0072160000","0100","TAMPA",32181,80086,10/19/2017,170000,208003,"TOWN&CTY",112267
"0072220000","0100","TAMPA",30657,95269,5/15/2017,135000,208003,"TOWN&CTY",125926
"0072760000","0100","TAMPA",29592,138161,5/5/2017,225000,208003,"TOWN&CTY",167753
"0072830000","0100","TAMPA",29592,146149,5/31/2017,215000,208003,"TOWN&CTY",175741
